Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1/1/2025 0:00,93576,93702.15,93537.5,93661.2,45.9416,05:00.0,4301907.484,7448,16.87967,1580504.06,0
1/1/2025 0:05,93661.2,93678.02,93600,93607.1,71.94585,10:00.0,6736120.654,4165,16.66761,1560680.291,0
1/1/2025 0:10,93607.1,93656.19,93489.03,93656.18,57.96928,15:00.0,5423765.862,8175,29.65936,2774717.275,0
1/1/2025 0:15,93656.19,93840.05,93614.95,93796.35,39.74456,20:00.0,3727084.219,8031,18.83666,1766277.733,0
1/1/2025 0:20,93796.35,93898.05,93707.81,93740,38.38053,25:00.0,3600685.193,10064,23.35948,2191366.849,0
1/1/2025 0:25,93740,93761.9,93721,93761.9,17.2924,30:00.0,1620904.875,2383,10.11237,947855.0416,0
1/1/2025 0:30,93761.9,93963.67,93761.89,93882.92,41.20105,35:00.0,3868313.548,9193,25.81812,2423918.675,0
1/1/2025 0:35,93882.91,93924.61,93836.61,93909.03,29.61201,40:00.0,2779743.754,7252,18.09455,1698547.963,0
1/1/2025 0:40,93909.03,93952.97,93885,93885.01,23.5511,45:00.0,2211783.833,5380,17.67409,1659852.637,0
1/1/2025 0:45,93885,93977.98,93864.44,93977.97,16.0662,50:00.0,1509070.313,3953,12.73266,1196010.996,0
1/1/2025 0:50,93977.98,94330.59,93964.07,94260,153.78843,55:00.0,14480872.92,13435,113.68314,10704468.2,0
1/1/2025 0:55,94260,94509.42,94212.13,94401.14,220.49709,00:00.0,20808557.9,14046,117.56548,11092578.06,0
1/1/2025 1:00,94401.13,94408.72,94105.2,94118.41,49.21796,05:00.0,4637588.992,12435,21.7763,2051941.164,0
1/1/2025 1:05,94118.41,94118.41,93880,94061.41,192.32691,10:00.0,18073509.88,12540,96.14963,9034640.008,0
1/1/2025 1:10,94061.41,94172,94061.4,94153.05,43.02531,15:00.0,4050345.963,6443,30.5524,2876168.878,0
1/1/2025 1:15,94153.04,94153.05,93971.28,93990.24,19.83923,20:00.0,1865209.693,6469,8.71475,819274.5634,0
1/1/2025 1:20,93990.23,93990.89,93850.39,93898.13,32.91057,25:00.0,3090036.232,3505,6.45632,606416.9148,0
1/1/2025 1:25,93898.14,93935.27,93819.6,93825.86,49.91252,30:00.0,4685273.617,5094,14.11355,1324766.95,0
1/1/2025 1:30,93825.86,93989.37,93825.86,93970.23,39.8335,35:00.0,3741387.418,6653,23.38041,2195930.838,0
1/1/2025 1:35,93970.23,93970.24,93893.29,93922.01,29.09079,40:00.0,2732511.498,3658,12.96058,1217436.918,0
1/1/2025 1:40,93922.01,93971.02,93917.21,93923.14,10.0546,45:00.0,944546.5287,3707,5.24723,492923.797,0
1/1/2025 1:45,93923.14,93945.25,93822.46,93854.48,19.38102,50:00.0,1819730.4,4903,11.26666,1057960.615,0
1/1/2025 1:50,93854.47,93854.48,93578.77,93626.1,85.86737,55:00.0,8045254.535,11300,20.29466,1901257.324,0
1/1/2025 1:55,93626.1,93645.96,93594.42,93607.74,15.07478,00:00.0,1411212.151,3236,6.50774,609220.3546,0
1/1/2025 2:00,93607.74,93779.99,93594.56,93753.19,27.44459,05:00.0,2571335.52,9619,16.67536,1562291.045,0
1/1/2025 2:05,93753.2,93776.34,93674.02,93682.94,22.67176,10:00.0,2125057.468,5094,10.70071,1002962.708,0
1/1/2025 2:10,93682.94,93805.04,93676.96,93800,54.60054,15:00.0,5119260.618,5882,47.24544,4429553.862,0
1/1/2025 2:15,93800,93805.16,93689.48,93765.41,23.19997,20:00.0,2174996.376,5915,15.52899,1455772.031,0
