Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2/29/2024 21:00,3393.99,3398.63,3333,3336.19,21012.1803,30:00.0,70518855.36,56862,8632.6903,28974817.24,0
2/29/2024 21:30,3336.18,3350.99,3310,3347.74,19460.3656,00:00.0,64831548.41,55743,9201.2964,30664644.18,0
2/29/2024 22:00,3347.73,3358.53,3315.01,3316.31,11211.1396,30:00.0,37424195.51,32296,5434.209,18144129.35,0
2/29/2024 22:30,3316.31,3331.95,3300,3322.61,13394.8046,00:00.0,44390019.51,36633,5588.5946,18523590.56,0
2/29/2024 23:00,3322.6,3352.57,3319.18,3351.69,8171.7785,30:00.0,27291179.67,25131,4451.8032,14867916.82,0
2/29/2024 23:30,3351.68,3358.97,3339.2,3340.09,6463.8102,00:00.0,21663332,20075,3208.8539,10756385.09,0
3/1/2024 0:00,3340.1,3380,3338.54,3369.49,12804.3808,30:00.0,42972741.84,30837,6834.1104,22936514.85,0
3/1/2024 0:30,3369.5,3379.89,3351.24,3378.73,8592.0111,00:00.0,28956184.45,23975,3518.416,11862909.33,0
3/1/2024 1:00,3378.73,3381.28,3364.61,3379.28,8029.8873,30:00.0,27098026.68,22733,2995.9793,10110910.07,0
3/1/2024 1:30,3379.28,3388.82,3368.68,3375.2,12141.0525,00:00.0,41027705.93,26287,4268.7065,14427417.14,0
3/1/2024 2:00,3375.2,3380.83,3352.05,3365.18,7218.1025,30:00.0,24295547.28,23865,3177.1021,10695532.19,0
3/1/2024 2:30,3365.18,3371.8,3360.02,3366.73,6030.4331,00:00.0,20287756.73,19516,2662.3835,8956850.113,0
3/1/2024 3:00,3366.73,3376.51,3355.18,3358.58,5381.3378,30:00.0,18106238.96,21182,2506.1225,8434131.413,0
3/1/2024 3:30,3358.58,3377.59,3356.8,3367.79,6004.6985,00:00.0,20220817.23,18709,2503.6278,8431017.78,0
3/1/2024 4:00,3367.78,3382.43,3365.59,3379.11,5215.4003,30:00.0,17602602.25,17663,2857.4569,9643893.274,0
3/1/2024 4:30,3379.12,3381.45,3365.95,3376.87,8621.9728,00:00.0,29079815.95,23069,3087.2764,10412496.96,0
3/1/2024 5:00,3376.87,3386.65,3372.65,3375.61,6080.4343,30:00.0,20554155.07,19211,3557.5438,12026896.9,0
3/1/2024 5:30,3375.61,3379.82,3368.9,3368.9,5343.2789,00:00.0,18026738.17,17911,1830.2706,6175880.891,0
3/1/2024 6:00,3368.91,3399,3368.52,3397.45,8801.9854,30:00.0,29803041.9,26174,5296.2799,17936227.56,0
3/1/2024 6:30,3397.45,3397.65,3382.58,3387.26,6458.7845,00:00.0,21881709.86,22800,3009.3149,10194766.26,0
3/1/2024 7:00,3387.26,3396.01,3375.12,3375.75,5748.5342,30:00.0,19467414.11,20806,2384.6802,8077758.005,0
3/1/2024 7:30,3375.75,3378.71,3364.32,3365.41,9153.5811,00:00.0,30860577.96,34928,4019.3743,13550636.57,0
3/1/2024 8:00,3365.41,3396.47,3353.74,3393.35,13796.5208,30:00.0,46570801.4,42306,7223.4987,24387598.16,0
3/1/2024 8:30,3393.35,3437.08,3391.86,3420.93,37545.3014,00:00.0,128513022.4,74437,17335.7487,59322778.47,0
3/1/2024 9:00,3420.94,3431.17,3416.75,3423.58,9133.3209,30:00.0,31276334.99,27287,4906.0397,16798772.07,0
3/1/2024 9:30,3423.58,3431.76,3417.48,3429.14,6241.9957,00:00.0,21381131.53,22564,3302.6955,11313359.07,0
3/1/2024 10:00,3429.13,3429.14,3414,3417.55,6164.8221,30:00.0,21086989.37,24237,2807.5073,9603197.864,0
3/1/2024 10:30,3417.55,3422,3400.61,3406.04,7081.173,00:00.0,24143484.79,30109,3174.9197,10823612.02,0
3/1/2024 11:00,3406.04,3412.87,3401.1,3406.3,5838.2865,30:00.0,19894973.23,20726,3249.132,11072453.23,0
3/1/2024 11:30,3406.3,3418.32,3398.61,3410.9,5887.7311,00:00.0,20072912.75,26357,2924.1063,9971810.777,0
3/1/2024 12:00,3410.89,3427,3410.26,3421.37,5069.7612,30:00.0,17340975.07,21606,2950.7936,10093264.08,0
3/1/2024 12:30,3421.38,3436.86,3420.75,3423.98,8464.6991,00:00.0,29037156.64,31574,4258.613,14609423.84,0
3/1/2024 13:00,3423.98,3449.81,3422.6,3441.85,8519.6556,30:00.0,29286865.15,27431,5048.57,17353793.84,0
3/1/2024 13:30,3441.85,3445.58,3434.37,3438.51,6618.2521,00:00.0,22764331.39,24649,3003.7977,10332629,0
3/1/2024 14:00,3438.5,3449.36,3432,3444.52,7770.1702,30:00.0,26737392.75,30917,3654.2115,12575643.86,0
3/1/2024 14:30,3444.51,3449.41,3382.1,3415.85,27148.292,00:00.0,92600119.05,63203,12972.928,44240471.71,0
3/1/2024 15:00,3415.84,3428.28,3403.47,3410.71,11483.2589,30:00.0,39202802.93,35329,5744.2025,19612361.47,0
3/1/2024 15:30,3410.71,3414.55,3379.6,3390.76,14739.066,00:00.0,50050731.16,38251,6150.3542,20880576.6,0
3/1/2024 16:00,3390.76,3402.49,3380.06,3396.21,11079.3689,30:00.0,37607785.24,32739,4898.1967,16627023.95,0
3/1/2024 16:30,3396.21,3396.9,3381.83,3387.19,9596.9157,00:00.0,32535818.26,29673,4670.3504,15834094.56,0
3/1/2024 17:00,3387.19,3419.93,3387.19,3411.87,10256.4906,30:00.0,34934152.53,28875,5637.8997,19200737.29,0
3/1/2024 17:30,3411.87,3425.45,3411.04,3419.39,6953.4234,00:00.0,23771307.87,22815,3890.4376,13299123.84,0
3/1/2024 18:00,3419.38,3428.21,3410.19,3427.99,7063.0149,30:00.0,24148053.41,23735,3418.2108,11688239.56,0
3/1/2024 18:30,3427.99,3433.91,3421.81,3431.69,7834.0598,00:00.0,26864967.45,23776,4470.8036,15331987.18,0
3/1/2024 19:00,3431.69,3435.9,3420.75,3422.94,6073.7749,30:00.0,20818824.14,21043,3069.0714,10520230.05,0
3/1/2024 19:30,3422.94,3428.58,3420,3427.73,5024.6963,00:00.0,17206805.16,16159,2361.9268,8089192.274,0
3/1/2024 20:00,3427.73,3437.05,3421.28,3434.51,5729.5396,30:00.0,19633874.5,18781,2841.029,9735965.532,0
3/1/2024 20:30,3434.51,3450,3421.91,3443.64,8888.673,00:00.0,30524019.62,27462,5337.1404,18328275.37,0
3/1/2024 21:00,3443.65,3448.99,3425,3436.84,9278.6236,30:00.0,31889622.21,28532,4908.1829,16869049.55,0
3/1/2024 21:30,3436.84,3438.06,3423.61,3426.71,3476.5065,00:00.0,11923026.43,15827,1734.5968,5949411.427,0
3/1/2024 22:00,3426.71,3438,3424.36,3429.85,4635.3149,30:00.0,15907415.58,16793,2234.5622,7668494.242,0
3/1/2024 22:30,3429.85,3437.7,3425.54,3433.21,3731.0629,00:00.0,12805910.09,11796,1795.8405,6164011.281,0
3/1/2024 23:00,3433.21,3450,3433.2,3439.38,6223.5216,30:00.0,21423155.97,19220,3213.5499,11064891.75,0
3/1/2024 23:30,3439.38,3440.15,3428.84,3433.43,3815.409,00:00.0,13099997.16,15255,2076.1,7128138.36,0
3/2/2024 0:00,3433.42,3446.2,3427.3,3445.97,7038.5368,30:00.0,24180641.37,20965,3506.9665,12051305.2,0
3/2/2024 0:30,3445.97,3460.04,3441.97,3457.82,12872.9387,00:00.0,44452759.17,31792,5887.1702,20330976.9,0
3/2/2024 1:00,3457.81,3458.48,3424.71,3428.4,7973.5915,30:00.0,27419635.18,26590,3158.8311,10861552.88,0
3/2/2024 1:30,3428.4,3443.74,3427.41,3442.47,5337.7486,00:00.0,18346314.51,20037,2876.8368,9887049.401,0
3/2/2024 2:00,3442.47,3446.47,3428.73,3435.05,6205.0667,30:00.0,21308368.4,17977,3216.2604,11044401.05,0
3/2/2024 2:30,3435.06,3443.92,3430.44,3437.68,4066.4788,00:00.0,13972155.04,14898,1984.9245,6820217.323,0
3/2/2024 3:00,3437.67,3440.31,3428.44,3433.04,4080.8636,30:00.0,14008665.36,14407,1878.7568,6449884.707,0
3/2/2024 3:30,3433.05,3444.15,3433.04,3442.34,6028.7468,00:00.0,20739163.12,17636,2814.2235,9679223.245,0
3/2/2024 4:00,3442.33,3445,3431.83,3432.38,5439.7506,30:00.0,18707569.92,17198,2269.1166,7803757.141,0
3/2/2024 4:30,3432.38,3438.38,3427.56,3427.57,4634.166,00:00.0,15907127.37,14674,2069.2678,7103696.819,0
3/2/2024 5:00,3427.56,3431,3390.01,3415.54,22368.24,30:00.0,76339145.13,42087,11514.4594,39285964.46,0
3/2/2024 5:30,3415.54,3421.79,3411.09,3419.7,11567.8511,00:00.0,39501699.6,21668,6461.8769,22064860.22,0
3/2/2024 6:00,3419.69,3452.76,3414.71,3448.4,14611.6835,30:00.0,50174406.65,35548,8531.756,29295155.34,0
3/2/2024 6:30,3448.4,3448.52,3435.3,3435.82,5417.4486,00:00.0,18643171.89,15819,2223.2972,7650710.544,0
3/2/2024 7:00,3435.83,3439.91,3426.9,3428.75,5407.1485,30:00.0,18561984.59,20237,2825.331,9700069.417,0
3/2/2024 7:30,3428.75,3433.43,3422.85,3430.25,4514.2595,00:00.0,15477384.22,18405,2333.2364,7999537.263,0
3/2/2024 8:00,3430.26,3435.68,3405.17,3415.52,7199.7226,30:00.0,24619626.79,26471,3346.7815,11443910.57,0
