date,open,high,low,close,volume
1/3/2025 14:15,96784,97131,96697.36,97084.6,196.81405
1/3/2025 14:30,97084.6,97342.44,96624.5,97251.98,606.08614
1/3/2025 14:45,97251.99,97285.78,96737.14,97016.01,414.11621
1/3/2025 15:00,97016,97450,96880.59,97156.95,465.97795
1/3/2025 15:15,97156.95,97317.64,96759.12,97263.78,367.50582
1/3/2025 15:30,97263.79,97557.09,97138.14,97432.81,369.21264
1/3/2025 15:45,97432.8,97660,97289.67,97521.35,384.90518
1/3/2025 16:00,97521.36,97726.52,97406.54,97633.12,370.91718
1/3/2025 16:15,97633.12,98444.42,97603.18,98066,826.59909
1/3/2025 16:30,98066,98368.85,98062.61,98147.35,382.88569
1/3/2025 16:45,98147.34,98151.52,97720.31,97868.2,319.51302
1/3/2025 17:00,97868.21,98083.99,97837.63,97919.28,267.26302
1/3/2025 17:15,97919.28,98263.13,97909.09,98164.02,200.37485
1/3/2025 17:30,98164.02,98299.76,98120.37,98214.08,142.03775
1/3/2025 17:45,98214.09,98214.09,97944.44,98026,190.03582
1/3/2025 18:00,98025.99,98330.42,98000,98323.86,167.82282
1/3/2025 18:15,98323.86,98481.74,98272.49,98481.73,177.68702
1/3/2025 18:30,98481.73,98580.92,98290.75,98432,234.98289
1/3/2025 18:45,98432,98697.86,98370,98527.98,233.15051
1/3/2025 19:00,98527.97,98900,98491.53,98900,499.2701
1/3/2025 19:15,98899.99,98976.91,98647.47,98697.85,264.08945
1/3/2025 19:30,98697.85,98838.18,98660.84,98698.23,164.38614
1/3/2025 19:45,98697.39,98697.39,98554.3,98592.01,142.68142
1/3/2025 20:00,98592.02,98602.29,98300,98479.56,265.14694
1/3/2025 20:15,98479.56,98748,98479.56,98618.09,161.19361
1/3/2025 20:30,98618.08,98629.05,98404.13,98453.89,204.29749
1/3/2025 20:45,98453.89,98503.47,98311.51,98311.52,215.53167
1/3/2025 21:00,98311.51,98369.56,98196.96,98206.18,238.05781
1/3/2025 21:15,98206.18,98274.48,98197.28,98274.48,102.97248
1/3/2025 21:30,98274.47,98419.14,98246.95,98325.58,96.34507
1/3/2025 21:45,98325.58,98358.7,98209.95,98272.7,70.00501
1/3/2025 22:00,98272.7,98468.39,98272.7,98372.33,93.52344
1/3/2025 22:15,98372.33,98512.94,98324,98460.37,80.76815
1/3/2025 22:30,98460.38,98485.83,98398.44,98408.56,65.30484
1/3/2025 22:45,98408.55,98408.56,98250,98296.37,77.95201
1/3/2025 23:00,98296.37,98382.19,98272.72,98277.76,99.08032
1/3/2025 23:15,98277.76,98294.32,98101,98101.01,72.08646
1/3/2025 23:30,98101.01,98184.6,98067.99,98174.18,85.56841
1/3/2025 23:45,98174.19,98183.96,98114.89,98174.18,57.52708
1/4/2025 0:00,98174.17,98288,98016.69,98111.11,184.50531
1/4/2025 0:15,98111.12,98155.99,98094.01,98094.02,72.42027
1/4/2025 0:30,98094.02,98094.02,97887.2,97986.21,122.23577
1/4/2025 0:45,97986.2,98055.56,97902.01,97950.01,85.98186
1/4/2025 1:00,97950.01,98005.69,97828.43,97888.78,104.25742
1/4/2025 1:15,97888.78,97961.8,97800,97960.15,71.12691
