Datetime,Open,High,Low,Close,Volume
12/20/2024 12:00,92723.99,93783.78,92232.54,93643.6,3425.00393
12/20/2024 12:30,93643.61,94244,93506.91,93941.75,1999.77616
12/20/2024 13:00,93941.74,94277.19,93581.32,93836.85,1155.68179
12/20/2024 13:30,93836.85,95803.57,93836.85,95204,3023.5645
12/20/2024 14:00,95204,95483.36,94745.87,95218.75,1284.04256
12/20/2024 14:30,95218.75,96235.29,95053.71,95627.99,1961.07653
12/20/2024 15:00,95628,97143,95608.01,97065.35,1832.00886
12/20/2024 15:30,97065.34,97572,96759.26,96991.62,1662.15333
12/20/2024 16:00,96991.63,97700,96817.72,97395.99,1207.65672
12/20/2024 16:30,97395.99,97630.67,96300,96727.99,1686.44418
12/20/2024 17:00,96728,97285.71,96427,97275.73,1015.77195
12/20/2024 17:30,97275.73,97375.45,96846,97206.59,719.95302
12/20/2024 18:00,97206.6,97308.39,96602.69,96806.66,717.20969
12/20/2024 18:30,96806.67,97272,96614.45,96993.58,499.23845
12/20/2024 19:00,96992.26,97727.27,96840,97584.33,613.97227
12/20/2024 19:30,97584.34,97748,97048.33,97116,725.77668
12/20/2024 20:00,97116,97232,96852,97099.99,517.86669
12/20/2024 20:30,97100,97151.99,96422.06,96451.88,836.25932
12/20/2024 21:00,96451.88,96642.97,95393.84,96148.61,1068.79328
12/20/2024 21:30,96148.61,96647.36,96132,96623.29,535.81212
12/20/2024 22:00,96623.29,97260.61,96451.03,97160.76,552.29249
12/20/2024 22:30,97160.77,97513,96936,97463.93,426.04948
12/20/2024 23:00,97463.93,97793.27,97389.38,97783.43,429.9363
12/20/2024 23:30,97783.43,97816.44,97450.04,97805.44,395.17667
12/21/2024 0:00,97805.44,97813.59,97218.33,97240.01,595.81598
12/21/2024 0:30,97240,97680,97216.32,97525.77,345.45347
12/21/2024 1:00,97525.77,97668.68,97308,97478.43,544.78207
12/21/2024 1:30,97478.43,97496.64,97198.76,97357.23,395.11693
12/21/2024 2:00,97357.23,97532,97188.09,97407.83,285.58296
12/21/2024 2:30,97407.82,97610.54,97367.29,97396,222.32737
12/21/2024 3:00,97396,97435.24,97275.82,97377.2,221.19723
12/21/2024 3:30,97377.2,97487.47,97244,97487.46,268.39262
12/21/2024 4:00,97487.47,97599.99,97378.5,97435.44,231.11618
12/21/2024 4:30,97435.44,97643,97435.43,97588,193.41165
12/21/2024 5:00,97588,97752,97541.06,97601.93,278.64506
12/21/2024 5:30,97601.92,98692,97548.21,98691.98,888.87413
12/21/2024 6:00,98691.98,98837.49,98318.6,98409.53,905.15196
12/21/2024 6:30,98409.52,98745,98328.24,98726.76,863.0477
12/21/2024 7:00,98726.76,98932.52,98500,98930.1,757.60834
12/21/2024 7:30,98930.09,99540.61,98872,99040,1350.09506
12/21/2024 8:00,99040,99187.95,98588.1,98588.11,644.25258
12/21/2024 8:30,98588.11,98706.48,98438.01,98650,379.92433
12/21/2024 9:00,98650,98686.77,98339.15,98448.01,388.26587
12/21/2024 9:30,98448.01,98615.99,98296.01,98565.82,280.35759
12/21/2024 10:00,98565.82,98649.9,98392.6,98544,446.14314
12/21/2024 10:30,98543.99,98560.8,98043.12,98131.22,458.51744
12/21/2024 11:00,98131.22,98228.55,97800,97888.85,474.81888
12/21/2024 11:30,97888.85,98424.77,97821.51,98262.08,361.83971
12/21/2024 12:00,98262.08,98283.95,97688.94,97853.25,634.3482
12/21/2024 12:30,97853.25,97853.26,97105.26,97131.99,1127.93018
12/21/2024 13:00,97132,97500.48,96538.88,96655.49,1293.69966
12/21/2024 13:30,96655.49,97467.3,96398.39,97344.54,1250.34851
12/21/2024 14:00,97344.02,97755.35,97312.99,97493.96,463.99055
12/21/2024 14:30,97493.97,97665.61,97069.4,97083.11,504.12646
12/21/2024 15:00,97083.11,97574.05,97070.28,97504,296.82523
12/21/2024 15:30,97504,97719.86,97380.02,97527.97,358.83601
12/21/2024 16:00,97527.96,97718.8,96951.41,97576.03,567.29688
12/21/2024 16:30,97576.03,97632.31,97118.85,97292,440.60717
12/21/2024 17:00,97292,97614.46,97035.58,97452.71,485.22627
12/21/2024 17:30,97452.71,97695.8,97150,97595.28,320.60281
12/21/2024 18:00,97595.29,97723.18,97385.1,97532.01,177.80269
12/21/2024 18:30,97532.01,97584,97287.87,97400.01,200.59371
12/21/2024 19:00,97400.01,97436.69,96819.36,96936.96,423.84877
12/21/2024 19:30,96936.96,97281.5,96823.19,97269.03,317.75911
12/21/2024 20:00,97269.03,98057.51,97224.83,97826.37,640.58416
12/21/2024 20:30,97826.37,97826.37,97355.99,97456.91,241.4939
12/21/2024 21:00,97456.92,97577.99,97126.17,97261.84,272.52281
12/21/2024 21:30,97261.83,97336,96539.91,96892,430.53813
12/21/2024 22:00,96892,97216.93,96624,97209.29,475.09634
12/21/2024 22:30,97209.28,97399.99,96953.84,97147.46,404.09572
12/21/2024 23:00,97147.46,97216.93,96900,97151.39,225.96181
12/21/2024 23:30,97151.4,97313.26,96953.84,97291.99,148.6681
12/22/2024 0:00,97292,97372.98,97052,97208,241.1721
12/22/2024 0:30,97208,97448.08,97099.34,97253.01,181.20426
